year,species_richness,occurrences,species_per_1000_occ,ndvi_mean,ndvi_std,audio_signal_strength,eco_stress_index
2018,9932,109119621,0.0910193777157638,0.5609740400873281,0.08297650462655963,0.2687802197802198,0.5274087133925379
2019,9960,127223673,0.0782873168580819,0.570092839915602,0.08807709477377407,0.2687802197802198,0.537537305213168
2020,9413,156727513,0.0600596527043723,0.6271967210063435,0.08964883962861553,0.2687802197802198,0.532922114190163
2021,9388,181410505,0.0517500350930614,0.5926316050133441,0.08934034257245306,0.2687802197802198,0.5702302213004918
2022,9933,202300019,0.049100341409261,0.5879010183636815,0.08990582897950679,0.2687802197802198,0.589543378505481
2023,10057,226769204,0.0443490554387623,0.6074220611916265,0.09051477749131563,0.2687802197802198,0.5996349425272155
2024,10098,246515008,0.0409630232330519,0.5845022507122507,0.08596989166887936,0.2687802197802198,0.6271148087098086
